Pelicula,Recomendaciones
Going Postal,"['Hogfather', 'The Colour of Magic', 'The Portal', 'Set the Thames on Fire', 'King Size']"
Her Master's Voice,"['Hiroshima', ""Hunt vs Lauda: F1's Greatest Racing Rivals"", ""Louis Theroux: America's Medicated Kids"", 'Louis Theroux: Under The Knife', 'The Lost World of Communism']"
Draft Day,"['Keeping Mum', 'Remember Me', 'Step Up Revolution', 'Warm Bodies', 'Beyond the Sea']"
The Mysterious Geographic Explorations of Jasper Morello,"['The Last Wave', 'Proof', 'Gallipoli', ""The Devil's Playground"", 'Oranges']"
We Are the Best!,"['Kops', 'Lilya 4-ever', 'Show Me Love', 'Get Santa', 'Together']"
When Jews Were Funny,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Borrowed Hearts,"['History of Cinema in Popielawy', 'Evim Sensin', 'The Answers', 'Four Eyed Monsters', 'You Cast A Spell On Me']"
The Raid 2,"['The Raid', ""I Don't Feel at Home in This World Anymore"", 'Spring', 'The Dirties', 'Operation Avalanche']"
Metro Manila,"['28 Hotel Rooms', 'After Tiller', 'These Birds Walk', 'We Need to Talk About Kevin', 'The Messenger']"
Série noire,"['American Heart', 'Better Luck Tomorrow', 'Animal Factory', 'Monsieur Hire', 'Ghosts... of the Civil Dead']"
Policewomen,"['Race with the Devil', 'A Bittersweet Life', 'Flickering Lights', 'Postman Blues', 'Stander']"
Brain Smasher... A Love Story,"['Lucky Break', 'The Wrong Guy', 'Drunken Tai Chi', 'Kung Phooey', 'My Wife Is a Gangster']"
The Loving Story,"['Nanking', 'The Loving Story', 'The Last Man on the Moon', 'The War Room', 'The Atomic Cafe']"
The Amazing Spider-Man 2,"['Spider-Man', 'Spider-Man 2', 'Thor', 'Thor: The Dark World', 'The Golden Voyage of Sinbad']"
That'll Be The Day,"['Performance', 'Brother Can You Spare A Dime', 'Melody', 'The Night the Lights Went Out in Georgia', 'La traviata']"
Son of Batman,"['Superman: Unbound', 'Batman: The Dark Knight Returns, Part 1', 'Batman: The Dark Knight Returns, Part 2', 'Justice League: Gods and Monsters', 'DC Showcase: Catwoman']"
16 Acres,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Calvary,"['Byzantium', 'Adam & Paul', 'Dorothy Mills', 'The Guard', 'Jump']"
Oculus,"['Before I Wake', ""That's What I Am"", 'Creep', 'A Fork in the Road', 'The Best of Me']"
Cold in July,"['Still Alice', 'Toute une nuit', 'A Better Tomorrow II', 'Puppet on a Chain', 'Jackass 3.5']"
g@me.,"['Picnic', 'The Booth', 'Samurai Fiction', ""I Just Didn't Do It"", 'The Kiyosu Conference']"
Witching & Bitching,"['The 13 Roses', 'The Phone Box', 'Machuca', 'Bad Education', 'El Sur']"
Lovin' Molly,"[""Lovin' Molly"", 'Modern Romance', 'Confessions from a Holiday Camp', 'The End of the Affair', 'Ali']"
March or Die,"['The Eagle Has Landed', 'The Cassandra Crossing', 'Capricorn One', 'The Dead Lands', 'If I Die Before I Wake']"
La Señal,"['La Señal', 'The Body of My Enemy', ""Maigret's Dead Man"", 'The Sign of Four', 'The Inspectors']"
Rio 2,"['Ice Age: Dawn of the Dinosaurs', 'Rio', 'Ice Age: Continental Drift', 'Rio 2', 'Epic']"
An Honest Liar,"['Jolene', 'Flashbacks of a Fool', 'Cashback', 'Trumped: Inside the Greatest Political Upset of All Time', 'Tommy Cooper: Not Like That, Like This']"
Ein Schnitzel für drei,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
In Your Eyes,"['Waitress', 'Cardboard Boxer', 'Creator', 'Born in Flames', 'Threads']"
Bears,"['African Cats', 'The Crimson Wing: Mystery of the Flamingos', 'Chimpanzee', 'Monkey Kingdom', 'Mad Hot Ballroom']"
Heaven is for Real,"['This Christmas', 'Two Can Play That Game', 'Dear John', ""Brian's Song"", 'The Vow']"
Made For Each Other,"['Cosi', ""I Love You, Don't Touch Me!"", 'Smiling Fish & Goat On Fire', 'Two Ninas', 'Pipe Dream']"
Pulling Strings,"['Cosi', ""I Love You, Don't Touch Me!"", 'Smiling Fish & Goat On Fire', 'Two Ninas', 'Pipe Dream']"
Bullet Ballet,"['Vital', 'Kissed by Winter', 'Heartbeat Detector', 'The Ape', 'See How They Fall']"
Mulan II,"[""Mickey's Twice Upon a Christmas"", 'Mickey, Donald, Goofy: The Three Musketeers', 'The Lion King 1½', ""The Lion King 2: Simba's Pride"", ""Lady and the Tramp II: Scamp's Adventure""]"
Ghost Adventures,"['Zombie Girl: The Movie', ""The Act of Seeing with One's Own Eyes"", 'Nightmares in Red, White and Blue', 'Ghost Adventures', 'Curse of the Blair Witch']"
Le Week-End,"['The Lost Honour of Christopher Jefferies', 'Sky', 'My Brother Tom', 'Unmade Beds', 'Far North']"
Ikigami: The Ultimate Limit,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
All About the Feathers,"['Embrace of the Serpent', 'The Spanish Apartment', 'The Day Silence Died', 'Casi Divas', 'Addictions and Subtractions']"
Girl on a Bicycle,"['Men in the City 2', 'Mordkommission Berlin 1', 'The Source', 'Party Girl', 'To Get to Heaven First You Have to Die']"
Firstborn,"['Losing Isaiah', 'Mommie Dearest', 'True Colors', 'Bang the Drum Slowly', 'Regarding Henry']"
Nature of the Beast,"['The Zodiac Killer', 'The Private Eyes', 'Opera', 'Resolution', 'RangiTaranga']"
Conquest 1453,"[""Hornet's Nest"", 'The Sky Crawlers', 'War of the Shaolin Temple', 'The McKenzie Break', ""You Can't Win 'Em All""]"
The Rocket,"['Frequently Asked Questions About Time Travel', 'Commitment', 'Little Big Men', 'My Scientology Movie', 'The Pleasure of Being Robbed']"
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"['The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared', 'Simple Simon', 'As It Is in Heaven', 'Homeward Bound II: Lost in San Francisco', 'Maleficent']"
Locke,"['Walking on Sunshine', '3 Generations', 'Ginger & Rosa', 'The End of the Tour', 'Everything Must Go']"
Mortified Nation,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Tungsten,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
All That Glitters,"['Nobody from Nowhere', ""Charlie's Country"", 'The Football Factory', 'Daddy or Mommy', 'Attila Marcel']"
Little Fauss and Big Halsy,"['The Godfather', 'Lady Sings the Blues', 'The Browning Version', 'Losing Isaiah', 'Mommie Dearest']"
Silver Bears,"['Helsinki Napoli - All Night Long', 'Silver Bears', 'The Bloody Olive', ""Delitto sull'autostrada"", 'Tazza: The High Rollers']"
The Man Who Loved Cat Dancing,"['The Man Who Loved Cat Dancing', 'The Traveling Executioner', 'Wild Rovers', 'Of Mice and Men', 'Fame']"
Neighbors,"['The Night Before', 'This Is the End', 'Bowfinger', 'The Dream Team', ""Three O'Clock High""]"
Man in the Wilderness,"['Good for Nothing', 'Return to Lonesome Dove', 'Belle Starr', 'Pioneer Woman', 'Instructions for a Light & Sound Machine']"
Powers of Ten,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Jodorowsky's Dune,"[""Buster's Mal Heart"", 'Cheap Thrills', 'Macadam Stories', 'Burnt by the Sun', 'Trash Fire']"
Belle,"['My Ain Folk', 'Winstanley', 'My Childhood', 'Caravaggio', 'The Goob']"
The Immigrant,"['The Rules of Attraction', 'Jimmy P.', 'Child 44', 'Wish I Was Here', 'Detachment']"
Pulling John,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
A Wednesday!,"['Kai Po Che!', 'Khosla Ka Ghosla!', 'The Lunchbox', 'Paan Singh Tomar', 'Aamir']"
Blindman,"['The Great Kidnapping', 'What Have They Done to Your Daughters?', 'Love on Sunday', 'As the Palaces Burn', 'Belle Starr']"
The Wild Life,"['The Dream Team', ""Three O'Clock High"", 'The Secret of My Success', 'I Wanna Hold Your Hand', 'Guest House Paradiso']"
Combat Girls,"['Little Thirteen', 'Nothing Bad Can Happen', 'Lollipop Monster', 'Rammbock: Berlin Undead', 'The Liar']"
You Instead,"['Ladies vs Ricky Bahl', ""Once You're Born You Can No Longer Hide"", 'Queen', 'Yes Nurse! No Nurse!', 'Anna Magdalena']"
Heli,"['Lucía, Lucía', 'Güeros', 'Bleak Street', 'Speaking of Bunuel', 'Caramel']"
I Think We're Alone Now,"['Phyllis and Harold', ""I Think We're Alone Now"", 'The Invisible Ones', 'A Decade Under the Influence', 'Lucky']"
Viola,"['Hawaii', 'Plan B', 'Tear This Heart Out', 'Bread and Roses', 'Sweet Sixteen']"
An Enemy of the People,"['The Home and the World', 'Just Let It Go, Friends', 'Salaam Bombay!', 'The Stranger', 'Sunrise']"
Gods of the Plague,"['The American Soldier', 'Love Is Colder Than Death', 'Beware of a Holy Whore', 'Rio das Mortes', 'Why Does Herr R. Run Amok?']"
X-Men: Days of Future Past,"['The Wolverine', 'X-Men: Apocalypse', 'Logan', 'X-Men', 'X2']"
Godzilla,"['The Man from U.N.C.L.E.', 'Storks', 'Run All Night', 'Inception', 'Kong: Skull Island']"
Walter Defends Sarajevo,"['10 Minutes', 'Vietnam in HD', 'Hedd Wyn', 'Prisoner of the Mountains', 'Fateless']"
Crystal Lake Memories: The Complete History of Friday the 13th,"['More Brains! A Return to the Living Dead', 'Best of Enemies', 'Last Call at the Oasis', 'Ivory Tower', 'Merchants of Doubt']"
Hunt vs Lauda: F1's Greatest Racing Rivals,"[""Louis Theroux: America's Medicated Kids"", 'Louis Theroux: Under The Knife', 'The Lost World of Communism', 'Hiroshima', 'The Trap: What Happened to Our Dream of Freedom']"
Blue Ruin,"['Toute une nuit', 'A Better Tomorrow II', 'Repo Man', 'The Untold Story', 'Fox and His Friends']"
Palo Alto,"['Good Time Max', 'The Broken Tower', ""Marvin's Room"", 'The Wizard of Lies', 'Nas: Time Is Illmatic']"
Kid Cannabis,"[""It's a Disaster"", 'The Making of a Legend: Gone with the Wind', 'Val Lewton: The Man in the Shadows', 'Tom and Jerry: The Fast and the Furry', 'Andersonville']"
The Home and the World,"['The Home and the World', 'Just Let It Go, Friends', 'Salaam Bombay!', 'The Stranger', 'Sunrise']"
The Stranger,"['Just Let It Go, Friends', 'An Enemy of the People', 'The Home and the World', 'Sunrise', 'Gandhi']"
Trances,"['Catwalk', 'Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream']"
Une Chambre en Ville,"['The Night the Lights Went Out in Georgia', 'La traviata', 'Into the Woods', 'Vitus', 'Janie Jones']"
Zatôichi at Large,"['Lone Wolf and Cub: Baby Cart to Hades', ""Zatôichi's Conspiracy"", 'Hanzo the Razor: Sword of Justice', ""Hanzo the Razor: Who's Got the Gold?"", 'Hanzo the Razor: The Snare']"
Jim Gaffigan: Obsessed,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
The Lady in Number 6,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Chef,"['Elvis & Nixon', 'The Ramen Girl', 'Sex & Drugs & Rock & Roll', 'Mr. Nice', 'The Edge of Love']"
Burton and Taylor,"['Tipping the Velvet', 'Ratcatcher', ""Whistle and I'll Come to You"", 'The Way We Live Now', 'Shoot the Messenger']"
Strip Search,"['Citizen Cohn', 'Barbarians at the Gate', 'The Positively True Adventures of the Alleged Texas Cheerleader Murdering Mom', 'Introducing Dorothy Dandridge', 'Mike Tyson: Undisputed Truth']"
Blaise Pascal,"['Chung Kuo - Cina', 'The Messiah', ""The Spider's Stratagem"", 'Cinema Paradiso', 'Borotalco']"
Rosemary's Baby,"['The Phone', 'Miracle in Cell No. 7', 'Draft Day', 'The Lincoln Lawyer', 'Perfect Number']"
Body Of Water,"['1944', 'Ambush', 'Mother of Mine', 'Quest for a Heart', 'Raspberry Boat Refugee']"
Lesson of the Evil,"['Onmyoji: The Yin Yang Master', 'Sandakan No. 8', 'Detective Conan: The Last Wizard of the Century', 'Detroit Metal City', ""A Taxing Woman's Return""]"
Zatôichi's Conspiracy,"[""Zatôichi's Conspiracy"", 'Zatôichi at Large', 'Hanzo the Razor: Sword of Justice', ""Hanzo the Razor: Who's Got the Gold?"", 'Hanzo the Razor: The Snare']"
"10,000 km","['A Gun in Each Hand', 'The Light Bulb Conspiracy', 'Bicicleta, Cullera, Poma', 'Biutiful', 'The Uninvited Guest']"
The Normal Heart,"['Glee: The Concert Movie', 'Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan', 'Creep', 'Diary of a Wimpy Kid: The Long Haul', 'Grand Canyon']"
Man Friday,"['A Summer Story', 'The Stepfather', 'The Last Seduction', 'The Company of Wolves', 'Welcome Home, Roxy Carmichael']"
Afflicted,"['Margarita', ""Nobody's Perfect"", 'The Misfit Brigade', 'And You Thought Your Parents Were Weird!', '15 Février 1839']"
Our Time,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Turks & Caicos,"['Salting the Battlefield', 'Page Eight', 'The Boy in the Striped Pyjamas', 'Testament of Youth', 'Ratcatcher']"
Salting the Battlefield,"['Turks & Caicos', 'The Boy in the Striped Pyjamas', 'Testament of Youth', 'The 7:39', 'Page Eight']"
Birth of the Living Dead,"['Liberty Kid', 'I Sell The Dead', 'The House of the Devil', 'Stake Land', 'The Comedy']"
Dark Girls,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Blended,"['Just Go with It', 'Grown Ups', ""Grandma's Boy"", 'Here Comes the Boom', 'Reign Over Me']"
Begin Again,"['Synecdoche, New York', 'Indignation', 'Sleep Dealer', 'Speech & Debate', 'Metallica: Through the Never']"
A Brony Tale,"['Catwalk', 'Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream']"
The Short Game,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
12 O’Clock Boys,"['Millions', 'Love Finds You in Valentine', 'Piccadilly Jim', 'Catwalk', 'Unzipped']"
Maleficent,"['The Adventures of Huck Finn', 'Iron Will', 'Big Hero 6', 'Freaky Friday', 'Hocus Pocus']"
A.C.A.B. All Cats Are Brilliant,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Loving,"['Ice Castles', ""Lovin' Molly"", 'Modern Romance', 'Confessions from a Holiday Camp', 'The End of the Affair']"
Scooby-Doo! WrestleMania Mystery,"['Scooby-Doo! And Kiss: Rock and Roll Mystery', 'Scooby-Doo! Abracadabra-Doo', 'Tom and Jerry: The Lost Dragon', 'Big Top Scooby-Doo!', ""That's What I Am""]"
The Dance of Reality,"['Endless Poetry', 'Macadam Stories', 'Burnt by the Sun', 'The Barber of Siberia', ""Jodorowsky's Dune""]"
Ordinary Miracles,"['Love Comes Softly', 'Desolation Canyon', 'Bound & Babysitting', 'A Crush on You', 'All of My Heart']"
Mile... Mile & A Half,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
I Like Killing Flies,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Edge of Tomorrow,"['Dreamkeeper', 'War', 'The Butterfly Effect', 'Capote', 'Things We Lost in the Fire']"
Little England,"['Nicostratos the Pelican', 'With Heart & Soul', 'Jimmy P.', 'Agenda Grinding America Down', 'Lulu in the Nude']"
Serial (Bad) Weddings,"[""I've Loved You So Long"", 'The Witnesses', 'Tous les soleils', 'Nowhere', 'Ao: The Last Hunter']"
Tracks,"['Oranges and Sunshine', 'Shame', 'Lion', 'Exiles', 'Running Wild']"
Mission: Impossible - Rogue Nation,"['Mission: Impossible - Ghost Protocol', 'Star Trek Beyond', 'Jack Reacher', 'Cloverfield', 'Star Trek Into Darkness']"
Neverland,"['Rewind', 'The Brothers Lionheart', 'No Time for Nuts', 'A Film with Me in It', 'The Siege of Jadotville']"
Million Dollar Arm,"['Million Dollar Arm', ""Squanto: A Warrior's Tale"", ""Wild Hearts Can't Be Broken"", 'The Greatest Game Ever Played', 'Cool Runnings']"
G.B.F.,"[""Sebastian's Voodoo"", 'The Ramen Girl', 'School Of Life', 'The Lift', 'Short Stories']"
Jack the Ripper,"['Love Letters of a Portuguese Nun', 'Love Camp', 'One Chance', 'A Family Man', 'Commando Leopard']"
Narco Cultura,"['Cold Weather', 'Beginners', 'A Matter of Size', ""Don't Let Me Drown"", 'Slash']"
Once Upon a Time in Shanghai,"['The Continent', 'Sword Master', 'Just Sex and Nothing Else', 'Chameleon', 'The Taking of Tiger Mountain']"
A Crime in Paradise,"['Kings and Queen', 'The Class Trip', 'Conversations with My Gardener', ""Marie's Story"", 'Read My Lips']"
Generation Iron,"['Hitchcock/Truffaut', 'Back in Time', 'American Promise', 'Lost in Translation', 'Against the Sun']"
Black Coffee,"['Cosi', ""I Love You, Don't Touch Me!"", 'Smiling Fish & Goat On Fire', 'Two Ninas', 'Pipe Dream']"
Love and Pain and the Whole Damn Thing,"['Ice Castles', ""Lovin' Molly"", 'Klute', 'Modern Romance', 'Confessions from a Holiday Camp']"
#chicagoGirl,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Liv & Ingmar,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Bettie Page Reveals All,"['Cowspiracy: The Sustainability Secret', 'What the Health', 'The Land', 'Spark: A Burning Man Story', 'Being John Malkovich']"
Lilting,"['Night and Day', 'The Pearl Color', 'Gods', 'The Art of Loving. Story of Michalina Wislocka', 'King Jack']"
The Fault in Our Stars,"['The Longest Ride', 'Maze Runner: The Scorch Trials', 'The Twilight Saga: Breaking Dawn - Part 2', 'Joy', 'The Maze Runner']"
The Grand Seduction,"['Seducing Doctor Lewis', 'Through the Mist', 'The Dark Side of the Heart', 'End of the Road', ""The Chinese Botanist's Daughters""]"
Minuscule: Valley of the Lost Ants,"['Dragon Hunters', 'A Distant Neighborhood', 'The Referees', 'Thomas in Love', 'Bye Bye Germany']"
Tangled Ever After,"['Bolt', 'Wreck-It Ralph', 'Inner Workings', 'Big Hero 6', 'Prep & Landing']"
Tercera Llamada,"['Trees Lounge', 'Bob Roberts', 'The Acid House', 'The Adventures of Sebastian Cole', 'Portraits Chinois']"
A Letter to Momo,"['Legend of Crystania: The Motion Picture', 'King of Thorn', 'Fatal Frame', 'Zen', 'Ringu']"
Helen,"['Shooting Dogs', 'Song for Marion', 'Remember', 'The Last Station', 'The Exception']"
My Best Enemy,"['Regular Lovers', 'Chronicle of a Disappearance', 'The Counterfeiters', 'Balkan Spy', 'Human Resources']"
The Case Against 8,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Frequencies,"['Khakee', 'Hunt for the Wilderpeople', 'Creator', 'Liquid Sky', ""Daft Punk's Electroma""]"
Mindscape,"['Three Steps Above Heaven', 'Maktub', 'Fog in August', 'Cracks', 'Hours']"
22 Jump Street,"['21 Jump Street', 'The Taming of the Scoundrel', 'Cool Breeze', 'Sitting Target', 'The Last Run']"
Human Capital,"['Every Blessed Day', 'A Whole Life Ahead', 'Estômago: A Gastronomic Story', 'Morvern Callar', 'Jigarthanda']"
The Equalizer,"['Patriot Games', 'Clear and Present Danger', 'Passengers', 'Goosebumps', 'Concussion']"
How to Train Your Dragon 2,"['How to Train Your Dragon', 'Shrek Forever After', 'The Croods', 'Kung Fu Panda', 'Penguins of Madagascar']"
The Sudden Wealth of the Poor People of Kombach,"['Lacombe, Lucien', 'Age of Cannibals', 'The Tin Drum', 'Eight Miles High', 'Vincent Wants to Sea']"
Birdman,"['Firehouse Dog', 'Jimmy P.', 'A Cure for Wellness', 'True Story', 'Copycat']"
"Tell Me That You Love Me, Junie Moon","['Forrest Gump', 'Harold and Maude', '200 Cigarettes', 'Soapdish', 'Frankie and Johnny']"
Play It As It Lays,"['The War', 'On Golden Pond', 'The River', 'Cry Freedom', ""Lorenzo's Oil""]"
Broadway Idiot,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
Broken Kingdom,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Brooklyn Babylon,"['Pure Country', 'Beauty and the Bastard', 'Guy and Madeline on a Park Bench', 'Shed No Tears', 'Brooklyn Babylon']"
The Dirties,"['Operation Avalanche', ""I Don't Feel at Home in This World Anymore"", 'Spring', 'Electric Boogaloo: The Wild, Untold Story of Cannon Films', 'The Raid 2']"
The Mind of Mr. Soames,"['And Now The Screaming Starts', 'The House That Dripped Blood', 'From Beyond the Grave', 'Tales That Witness Madness', 'The Beast Must Die']"
Mrs. Pollifax: Spy,"['The Birdcage', 'Everything You Always Wanted to Know About Sex *But Were Afraid to Ask', 'Movers & Shakers', 'Igby Goes Down', 'Inserts']"
Brooklyn Dodgers: The Ghosts of Flatbush,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Doc of the Dead,"['Feeding Frenzy', 'Little Big Men', 'On Any Sunday, The Next Chapter', 'The Fourth Phase', 'Everything or Nothing']"
Boyhood,"['SubUrbia', 'Spring Forward', 'Me and You and Everyone We Know', 'The Baxter', 'Tape']"
Think Like a Man Too,"['Girls Trip', 'We of the Never Never', 'Ride Along 2', 'My Dear Enemy', 'Falling in Love Again']"
Jersey Boys,"['Honeysuckle Rose', 'Amadeus', 'Stand and Deliver', 'Running on Empty', 'ATL']"
Bitch Hug,"['Patrik, Age 1.5', 'Bekas', 'Henrietta', 'Faithless', 'The Best Intentions']"
The Internet's Own Boy: The Story of Aaron Swartz,"['We Are Legion: The Story of the Hacktivists', 'Last Call at the Oasis', 'Ivory Tower', 'Merchants of Doubt', 'Page One: Inside the New York Times']"
Anita,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
112 Weddings,"['Which Way Home', 'James Gandolfini: Tribute To A Friend', '112 Weddings', 'The Iceman: Confessions of a Mafia Hitman', 'Bright Lights: Starring Carrie Fisher and Debbie Reynolds']"
Metalhead,"['Bright Future', 'I Love Your Work', 'The Great Magician', 'Roswell', 'The New Protocol']"
Belle Starr,"['Pioneer Woman', 'Instructions for a Light & Sound Machine', 'Durango Is Coming, Pay or Die', 'The Stranger That Kneels Beside the Shadow of a Corpse', 'Ballad of Django']"
Finding Vivian Maier,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Jack Strong,"['Killing Emmett Young', 'هیچ کجا هیچ کس', 'La Señal', 'The Body of My Enemy', ""Maigret's Dead Man""]"
Jennifer,"['The Abominable Dr. Phibes', 'Dr. Phibes Rises Again', 'The Amityville Horror', 'Murders in the Rue Morgue', 'Wuthering Heights']"
Frank,"['Page Eight', 'Bis zum Ellenbogen', 'My Brother Tom', ""Jimmy's Hall"", 'Garage']"
I Belong,"['I Belong', 'The Man Who Loved Yngve', ""I'm the One You Want"", 'North', 'The Orheim Company']"
In Bloom,"['Zoology', 'The Pearl Color', 'Gods', 'The Art of Loving. Story of Michalina Wislocka', 'The Broken Landlord']"
Elaine Stritch: Shoot Me,"['Harry Dean Stanton: Partly Fiction', 'Catwalk', 'Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace']"
Stuart: A Life Backwards,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Sunburn,"['Salvador', 'Chattahoochee', 'Best Seller', 'Highway to Hell', 'The Falcon and the Snowman']"
The Gunfighter,"['In the West There Was a Man Named Invincible', 'Texas - Doc Snyder hält die Welt in Atem', 'Belle Starr', 'Pioneer Woman', 'Instructions for a Light & Sound Machine']"
Let the Fire Burn,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Kabhi Haan Kabhi Naa,"['Student of the Year', 'Kabhi Haan Kabhi Naa', 'Ten Thousand Saints', 'SoulBoy', 'A Long Hot Summer']"
The Friends,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Colorful,"['Mobile Suit Gundam F91', 'Mobile Suit Gundam 00: A Wakening of the Trailblazer', 'Mobile Suit Gundam II: Soldiers of Sorrow', 'Mobile Suit Gundam III: Encounters in Space', 'The Ottoman Lieutenant']"
The Babadook,"['Snowtown', 'Sunday Too Far Away', 'In Her Skin', 'Red Dog', 'Wolf Creek']"
White God,"['Üvegtigris', 'The White King', 'White Palms', 'Above Us Only Sky', 'Cypher']"
Whiplash,"['Men, Women & Children', 'Creep', 'Labor Day', 'Trumped: Inside the Greatest Political Upset of All Time', 'Lowriders']"
Gone Girl,"['Copycat', 'A Cure for Wellness', 'True Story', 'High Crimes', 'Stay']"
Life Itself,"['The Trials of Muhammad Ali', 'Abacus: Small Enough to Jail', 'Whitey: United States of America v. James J. Bulger', 'Hoop Dreams', 'Steve Jobs: The Man in the Machine']"
Finding Fela,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Favor,"['The Convent', 'On the Run', 'Century of the Dragon', 'Who Killed Bambi?', 'Shifty']"
Chronicle of a Disappearance,"['Regular Lovers', 'Human Resources', 'Mondo', 'Love Forbidden', 'Herb & Dorothy']"
Dawn of the Planet of the Apes,"['The Heat', 'War for the Planet of the Apes', 'Rise of the Planet of the Apes', 'The Maze Runner', ""Miss Peregrine's Home for Peculiar Children""]"
The Great Magician,"['I Love Your Work', 'The Great Magician', 'Roswell', 'The New Protocol', 'More Things That Happened']"
A Child in the Crowd,"['Hothead', 'Tess', 'Fedora', 'I as in Icarus', 'Fort Saganne']"
Watercolors,"['Nelly and Monsieur Arnaud', 'Country Life', 'Flirt', 'Venice', 'The Whole Wide World']"
The Battered Bastards of Baseball,"['Amanda Knox', 'Nick Offerman: American Ham', 'Imperial Dreams', 'Blue Jay', 'Sarah Silverman: A Speck of Dust']"
Unraveled,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Miss Violence,"['Chevalier', 'Strella', 'Morning Patrol', ""It's a Long Road"", 'When I Saw You']"
Jonestown: Paradise Lost,"['The Atomic Cafe', 'Inside Deep Throat', 'Jonestown: The Life and Death of Peoples Temple', 'Of Time and the City', 'Otaku']"
Charlie's Country,"['The Football Factory', 'Dingo', 'The Tracker', 'Monsters', ""When the Cat's Away""]"
Margaret Thatcher: The Long Walk to Finchley,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Ju-on: The Beginning of the End,"['I Drink Your Blood', 'Possessed', 'Luther the Geek', 'The Death King', 'Outer Space']"
Healing,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Going Down in La-La Land,"['The Broken Tower', 'The Scent of Green Papaya', 'Love on the Ground', 'Les Cowboys', 'Gwen, the Book of Sand']"
I Origins,"['Terri', 'The Wolfpack', 'Born in Flames', 'Threads', 'On the Beach']"
